station_id,timestamp,DO,pH,conductivity,turbidity,BOD,nitrate
STN_A,2025-01-01 10:00:00,6.82,7.45,327.58,9.3,3.05,4.8
STN_B,2025-01-01 10:00:00,6.31,7.3,406.49,12.61,5.0,7.56
STN_C,2025-01-01 10:00:00,6.39,7.24,427.21,17.28,10.02,9.58
STN_D,2025-01-01 10:00:00,5.19,7.12,506.1,24.92,9.41,12.39
STN_A,2025-01-01 11:00:00,6.86,7.33,344.49,5.86,3.65,5.08
STN_B,2025-01-01 11:00:00,6.77,7.22,397.45,12.02,5.22,7.28
STN_C,2025-01-01 11:00:00,5.7,7.08,451.05,17.43,9.1,10.4
STN_D,2025-01-01 11:00:00,5.41,6.93,552.0,22.08,11.88,13.36
STN_A,2025-01-01 12:00:00,6.89,7.36,316.88,7.27,3.54,5.52
STN_B,2025-01-01 12:00:00,6.31,7.25,393.5,12.47,6.66,7.38
STN_C,2025-01-01 12:00:00,5.26,7.06,461.22,18.92,8.99,10.08
STN_D,2025-01-01 12:00:00,5.19,6.96,528.21,24.7,11.83,13.67
STN_A,2025-01-01 13:00:00,6.93,7.45,339.59,8.04,4.55,4.82
STN_B,2025-01-01 13:00:00,6.17,7.27,381.46,12.9,5.35,8.26
STN_C,2025-01-01 13:00:00,5.08,6.98,467.38,19.19,9.51,10.38
STN_D,2025-01-01 13:00:00,4.67,6.91,521.14,23.99,12.79,12.92
STN_A,2025-01-01 14:00:00,6.31,7.33,326.2,7.16,3.35,5.15
STN_B,2025-01-01 14:00:00,6.03,7.22,372.94,12.36,4.85,6.16
STN_C,2025-01-01 14:00:00,5.04,7.04,454.67,20.22,9.69,9.91
STN_D,2025-01-01 14:00:00,4.55,6.88,519.73,24.57,12.27,12.51
STN_A,2025-01-01 15:00:00,6.61,7.46,318.38,8.61,4.56,4.77
STN_B,2025-01-01 15:00:00,5.92,7.24,381.47,10.85,6.03,7.31
STN_C,2025-01-01 15:00:00,5.59,7.11,482.31,16.86,9.71,10.12
STN_D,2025-01-01 15:00:00,5.11,6.87,507.41,24.11,10.31,12.69
STN_A,2025-01-01 16:00:00,6.15,7.33,325.14,10.82,4.77,4.66
STN_B,2025-01-01 16:00:00,5.51,7.26,360.21,14.76,6.95,6.73
STN_C,2025-01-01 16:00:00,4.56,7.13,448.29,19.87,7.73,9.65
STN_D,2025-01-01 16:00:00,4.38,6.93,513.26,25.94,11.15,12.92
STN_A,2025-01-01 17:00:00,6.36,7.35,330.68,6.32,2.78,5.78
STN_B,2025-01-01 17:00:00,5.83,7.15,403.28,12.18,6.95,7.05
STN_C,2025-01-01 17:00:00,5.64,7.15,446.27,19.47,9.53,10.83
STN_D,2025-01-01 17:00:00,4.04,6.97,535.89,22.37,11.06,11.79
STN_A,2025-01-01 18:00:00,6.23,7.37,342.55,8.12,5.31,4.18
STN_B,2025-01-01 18:00:00,5.2,7.21,385.77,11.96,4.36,6.96
STN_C,2025-01-01 18:00:00,4.62,7.06,455.51,16.6,8.6,9.37
STN_D,2025-01-01 18:00:00,4.29,6.99,505.22,25.77,11.59,12.53
STN_A,2025-01-01 19:00:00,6.3,7.23,311.71,6.21,5.58,5.03
STN_B,2025-01-01 19:00:00,5.52,7.23,378.33,11.68,6.5,7.46
STN_C,2025-01-01 19:00:00,4.87,6.97,445.88,14.56,7.8,10.83
STN_D,2025-01-01 19:00:00,4.82,6.89,528.66,25.48,14.47,13.68
STN_A,2025-01-01 20:00:00,6.34,7.25,295.91,8.32,3.41,4.16
STN_B,2025-01-01 20:00:00,5.58,7.14,405.32,13.33,6.0,7.9
STN_C,2025-01-01 20:00:00,5.1,6.96,472.86,18.82,8.18,9.9
STN_D,2025-01-01 20:00:00,4.12,6.81,533.9,27.88,10.89,13.35
STN_A,2025-01-01 21:00:00,6.26,7.3,311.13,6.72,4.05,4.51
STN_B,2025-01-01 21:00:00,5.94,7.24,376.43,10.65,5.55,7.46
STN_C,2025-01-01 21:00:00,5.31,6.96,451.5,19.14,7.68,10.34
STN_D,2025-01-01 21:00:00,4.26,6.99,508.56,22.3,10.71,13.04
STN_A,2025-01-01 22:00:00,6.64,7.29,329.59,5.52,3.96,4.29
STN_B,2025-01-01 22:00:00,5.77,7.27,367.11,11.44,6.82,6.67
STN_C,2025-01-01 22:00:00,5.51,6.97,457.96,20.17,7.03,9.53
STN_D,2025-01-01 22:00:00,4.74,6.95,525.58,24.11,12.08,12.92
STN_A,2025-01-01 23:00:00,7.03,7.41,325.08,7.39,3.62,4.75
STN_B,2025-01-01 23:00:00,6.2,7.25,384.36,15.13,6.71,6.82
STN_C,2025-01-01 23:00:00,5.74,7.05,419.44,16.5,7.52,9.8
STN_D,2025-01-01 23:00:00,4.69,7.12,524.92,24.68,12.68,11.69
STN_A,2025-01-02 00:00:00,6.88,7.47,297.83,9.73,4.28,4.76
STN_B,2025-01-02 00:00:00,6.4,7.49,382.74,12.39,5.65,6.5
STN_C,2025-01-02 00:00:00,5.76,7.04,451.09,17.3,9.4,10.21
STN_D,2025-01-02 00:00:00,5.12,6.97,515.96,23.54,11.66,13.24
STN_A,2025-01-02 01:00:00,7.17,7.37,333.06,10.05,4.34,6.14
STN_B,2025-01-02 01:00:00,6.11,7.24,353.33,14.26,6.54,6.98
STN_C,2025-01-02 01:00:00,5.73,7.05,486.7,18.21,9.1,10.45
STN_D,2025-01-02 01:00:00,5.09,7.06,508.16,25.72,13.52,13.82
STN_A,2025-01-02 02:00:00,7.54,7.42,305.17,7.83,4.06,5.67
STN_B,2025-01-02 02:00:00,5.96,7.49,377.64,11.37,5.2,6.02
STN_C,2025-01-02 02:00:00,6.01,7.17,430.66,16.07,8.75,11.02
STN_D,2025-01-02 02:00:00,4.99,6.94,516.33,24.61,9.86,12.98
STN_A,2025-01-02 03:00:00,7.1,7.54,347.75,9.7,3.8,4.35
STN_B,2025-01-02 03:00:00,7.34,7.39,380.22,11.98,6.17,6.93
STN_C,2025-01-02 03:00:00,5.7,7.14,449.52,17.2,8.44,10.08
STN_D,2025-01-02 03:00:00,5.09,7.21,480.25,26.65,13.01,11.77
STN_A,2025-01-02 04:00:00,7.15,7.47,298.9,6.85,3.13,6.07
STN_B,2025-01-02 04:00:00,6.93,7.5,390.84,10.32,5.6,7.31
STN_C,2025-01-02 04:00:00,5.58,7.26,446.41,17.45,9.58,10.28
STN_D,2025-01-02 04:00:00,5.14,7.19,503.8,25.94,12.49,12.83
STN_A,2025-01-02 05:00:00,7.4,7.41,333.88,7.74,3.6,5.65
STN_B,2025-01-02 05:00:00,6.49,7.3,356.67,12.92,4.99,8.07
STN_C,2025-01-02 05:00:00,5.37,7.35,453.18,17.87,8.58,10.26
STN_D,2025-01-02 05:00:00,5.29,7.2,521.73,25.24,11.72,12.98
STN_A,2025-01-02 06:00:00,7.41,7.38,299.79,9.13,4.15,4.91
STN_B,2025-01-02 06:00:00,6.72,7.44,371.92,10.85,6.17,6.43
STN_C,2025-01-02 06:00:00,6.14,7.08,465.45,18.73,9.22,10.61
STN_D,2025-01-02 06:00:00,5.82,7.2,492.4,23.1,11.52,13.03
STN_A,2025-01-02 07:00:00,7.46,7.46,322.82,6.88,3.53,4.17
STN_B,2025-01-02 07:00:00,6.42,7.31,365.38,13.6,5.26,8.6
STN_C,2025-01-02 07:00:00,6.15,7.23,437.14,19.07,8.56,10.09
STN_D,2025-01-02 07:00:00,6.07,7.11,537.26,23.96,11.99,14.08
STN_A,2025-01-02 08:00:00,7.06,7.65,330.63,7.17,4.52,5.6
STN_B,2025-01-02 08:00:00,6.84,7.28,369.11,11.65,5.96,7.39
STN_C,2025-01-02 08:00:00,6.0,7.1,455.72,18.93,9.47,10.67
STN_D,2025-01-02 08:00:00,5.5,7.14,518.96,22.53,12.36,13.14
STN_A,2025-01-02 09:00:00,7.25,7.39,303.8,9.6,3.99,5.43
STN_B,2025-01-02 09:00:00,6.58,7.39,394.09,11.24,6.09,6.74
STN_C,2025-01-02 09:00:00,5.74,7.16,453.35,17.3,10.02,9.48
STN_D,2025-01-02 09:00:00,5.12,7.05,541.72,25.31,12.84,12.13
STN_A,2025-01-02 10:00:00,7.15,7.54,321.25,9.62,3.6,5.86
STN_B,2025-01-02 10:00:00,7.16,7.34,373.34,14.2,7.28,6.7
STN_C,2025-01-02 10:00:00,5.64,7.15,429.85,16.64,8.22,9.56
STN_D,2025-01-02 10:00:00,5.06,7.09,543.28,23.52,12.81,12.89
STN_A,2025-01-02 11:00:00,6.93,7.5,303.18,8.59,4.15,5.31
STN_B,2025-01-02 11:00:00,6.44,7.54,370.45,11.22,5.52,6.69
STN_C,2025-01-02 11:00:00,5.46,7.24,471.33,17.16,8.35,10.3
STN_D,2025-01-02 11:00:00,4.78,7.1,523.06,22.75,13.26,14.1
STN_A,2025-01-02 12:00:00,6.64,7.39,324.31,8.52,4.55,6.23
STN_B,2025-01-02 12:00:00,6.17,7.26,359.33,10.92,5.99,8.1
STN_C,2025-01-02 12:00:00,5.36,7.14,449.77,19.8,11.04,9.7
STN_D,2025-01-02 12:00:00,4.67,7.1,530.25,27.79,12.49,12.8
STN_A,2025-01-02 13:00:00,6.87,7.48,332.33,8.78,4.87,5.72
STN_B,2025-01-02 13:00:00,6.51,7.35,377.51,12.24,6.99,6.53
STN_C,2025-01-02 13:00:00,5.5,7.06,450.45,19.94,9.17,10.05
STN_D,2025-01-02 13:00:00,4.28,7.05,529.7,28.27,11.77,13.15
STN_A,2025-01-02 14:00:00,6.65,7.5,318.59,8.44,4.51,5.13
STN_B,2025-01-02 14:00:00,5.84,7.29,396.13,10.48,6.13,6.6
STN_C,2025-01-02 14:00:00,5.63,6.95,441.64,18.59,10.27,9.98
STN_D,2025-01-02 14:00:00,4.4,7.12,498.3,21.72,12.37,12.72
STN_A,2025-01-02 15:00:00,6.16,7.41,323.68,7.18,3.0,5.54
STN_B,2025-01-02 15:00:00,6.06,7.24,407.72,10.42,4.8,6.61
STN_C,2025-01-02 15:00:00,5.15,7.07,446.4,18.55,8.02,10.89
STN_D,2025-01-02 15:00:00,4.44,7.04,525.16,25.71,12.48,13.29
STN_A,2025-01-02 16:00:00,6.58,7.44,322.97,9.09,3.95,5.89
STN_B,2025-01-02 16:00:00,5.59,7.38,379.42,9.88,6.12,6.61
STN_C,2025-01-02 16:00:00,5.34,6.98,443.33,15.19,8.66,8.57
STN_D,2025-01-02 16:00:00,3.91,7.0,531.81,25.66,11.25,12.99
STN_A,2025-01-02 17:00:00,6.34,7.23,342.57,9.34,3.85,5.04
STN_B,2025-01-02 17:00:00,5.8,7.06,376.31,11.0,5.22,6.85
STN_C,2025-01-02 17:00:00,5.58,7.08,441.45,18.88,10.14,10.58
STN_D,2025-01-02 17:00:00,4.36,6.87,530.5,25.61,12.74,13.4
STN_A,2025-01-02 18:00:00,6.64,7.28,339.78,8.32,5.68,4.61
STN_B,2025-01-02 18:00:00,6.24,7.24,370.25,11.3,5.77,7.28
STN_C,2025-01-02 18:00:00,5.18,6.98,449.66,21.24,10.4,10.28
STN_D,2025-01-02 18:00:00,4.33,6.93,529.23,23.49,11.82,12.02
STN_A,2025-01-02 19:00:00,6.46,7.38,312.78,10.38,3.04,4.14
STN_B,2025-01-02 19:00:00,5.81,7.31,405.28,11.34,6.89,7.0
STN_C,2025-01-02 19:00:00,4.99,7.1,459.81,15.66,10.2,10.85
STN_D,2025-01-02 19:00:00,4.15,6.96,527.43,25.41,11.58,12.62
STN_A,2025-01-02 20:00:00,6.38,7.43,328.18,7.47,4.64,3.31
STN_B,2025-01-02 20:00:00,6.14,7.1,374.59,10.34,4.99,7.72
STN_C,2025-01-02 20:00:00,4.95,7.07,449.32,18.74,9.09,9.25
STN_D,2025-01-02 20:00:00,4.69,6.9,496.68,24.38,13.22,13.53
STN_A,2025-01-02 21:00:00,6.37,7.33,315.2,11.14,4.33,5.28
STN_B,2025-01-02 21:00:00,6.18,7.27,376.14,11.73,5.97,7.0
STN_C,2025-01-02 21:00:00,5.39,7.06,461.01,17.9,9.09,8.83
STN_D,2025-01-02 21:00:00,4.75,6.98,534.99,20.68,13.7,12.94
STN_A,2025-01-02 22:00:00,6.91,7.29,329.22,6.44,3.53,6.17
STN_B,2025-01-02 22:00:00,5.92,7.29,393.08,12.77,6.15,7.24
STN_C,2025-01-02 22:00:00,6.0,7.07,453.04,19.6,9.91,10.74
STN_D,2025-01-02 22:00:00,4.77,6.88,544.53,23.31,12.27,12.57
STN_A,2025-01-02 23:00:00,6.68,7.43,324.85,8.66,5.32,5.3
STN_B,2025-01-02 23:00:00,6.02,7.38,397.87,10.18,6.5,7.45
STN_C,2025-01-02 23:00:00,5.31,7.21,447.77,18.21,8.89,10.03
STN_D,2025-01-02 23:00:00,4.37,6.88,543.94,23.76,11.23,11.73
STN_A,2025-01-03 00:00:00,6.63,7.32,344.66,9.54,3.48,6.38
STN_B,2025-01-03 00:00:00,6.52,7.3,342.54,15.46,4.91,6.04
STN_C,2025-01-03 00:00:00,5.83,7.32,470.79,18.87,9.5,10.54
STN_D,2025-01-03 00:00:00,5.05,7.05,521.59,24.93,11.42,12.86
STN_A,2025-01-03 01:00:00,6.45,7.44,305.2,6.37,4.17,5.86
STN_B,2025-01-03 01:00:00,6.63,7.23,365.18,13.44,5.24,6.89
STN_C,2025-01-03 01:00:00,5.82,7.08,451.61,16.03,8.55,10.22
STN_D,2025-01-03 01:00:00,4.48,7.09,519.73,25.86,12.21,13.85
STN_A,2025-01-03 02:00:00,7.11,7.44,321.86,8.84,4.07,5.05
STN_B,2025-01-03 02:00:00,6.27,7.32,358.99,14.65,5.03,6.61
STN_C,2025-01-03 02:00:00,5.56,7.25,445.6,19.9,8.49,10.19
STN_D,2025-01-03 02:00:00,4.83,7.25,502.21,25.49,12.53,13.28
STN_A,2025-01-03 03:00:00,7.13,7.49,320.68,7.81,4.8,6.35
STN_B,2025-01-03 03:00:00,6.41,7.29,378.7,15.9,5.38,8.01
STN_C,2025-01-03 03:00:00,6.38,7.15,458.56,20.47,8.72,9.91
STN_D,2025-01-03 03:00:00,5.01,7.02,510.29,23.19,12.06,12.57
STN_A,2025-01-03 04:00:00,7.33,7.39,324.99,9.28,2.43,5.25
STN_B,2025-01-03 04:00:00,7.03,7.32,405.12,12.66,5.46,6.99
STN_C,2025-01-03 04:00:00,6.13,7.22,458.11,16.65,9.16,9.18
STN_D,2025-01-03 04:00:00,5.23,7.04,509.0,26.88,12.9,13.39
STN_A,2025-01-03 05:00:00,6.98,7.5,338.23,8.24,5.88,5.26
STN_B,2025-01-03 05:00:00,6.77,7.4,382.03,11.8,6.6,7.6
STN_C,2025-01-03 05:00:00,5.78,7.12,422.49,18.79,8.15,8.74
STN_D,2025-01-03 05:00:00,5.43,7.32,519.94,26.29,12.09,12.97
STN_A,2025-01-03 06:00:00,7.61,7.51,324.04,8.51,3.49,5.62
STN_B,2025-01-03 06:00:00,6.68,7.37,388.08,10.68,6.05,7.02
STN_C,2025-01-03 06:00:00,6.36,7.27,449.65,19.26,10.14,10.36
STN_D,2025-01-03 06:00:00,5.33,7.02,504.05,24.57,11.54,12.92
STN_A,2025-01-03 07:00:00,7.33,7.57,318.97,8.76,4.08,3.84
STN_B,2025-01-03 07:00:00,6.43,7.42,361.88,12.93,7.25,7.76
STN_C,2025-01-03 07:00:00,5.95,7.35,452.26,17.52,8.54,9.85
STN_D,2025-01-03 07:00:00,5.2,7.14,522.44,25.03,12.38,13.74
STN_A,2025-01-03 08:00:00,7.55,7.4,281.72,9.43,2.94,4.9
STN_B,2025-01-03 08:00:00,6.31,7.27,388.15,13.17,5.57,5.48
STN_C,2025-01-03 08:00:00,5.8,7.25,427.85,18.31,9.02,10.38
STN_D,2025-01-03 08:00:00,5.3,7.04,537.98,24.79,12.01,12.47
STN_A,2025-01-03 09:00:00,7.05,7.43,317.44,10.6,2.93,4.06
STN_B,2025-01-03 09:00:00,7.03,7.38,369.99,13.59,5.55,8.13
STN_C,2025-01-03 09:00:00,6.09,7.16,482.39,17.12,9.62,10.21
STN_D,2025-01-03 09:00:00,5.58,7.23,520.51,23.9,12.4,12.62
STN_A,2025-01-03 10:00:00,7.69,7.49,314.55,8.31,2.95,4.45
STN_B,2025-01-03 10:00:00,6.84,7.33,364.33,12.84,6.98,7.46
STN_C,2025-01-03 10:00:00,6.08,7.12,428.7,20.28,8.77,9.88
STN_D,2025-01-03 10:00:00,5.48,7.13,526.87,28.28,11.52,13.59
STN_A,2025-01-03 11:00:00,6.98,7.48,342.96,8.79,4.46,5.68
STN_B,2025-01-03 11:00:00,6.25,7.29,364.36,9.08,7.68,6.37
STN_C,2025-01-03 11:00:00,5.6,7.14,454.64,19.26,9.72,9.68
STN_D,2025-01-03 11:00:00,4.91,7.08,516.3,27.44,12.42,13.47
STN_A,2025-01-03 12:00:00,7.03,7.53,322.75,6.09,4.35,4.64
STN_B,2025-01-03 12:00:00,6.07,7.38,398.61,12.06,6.28,8.05
STN_C,2025-01-03 12:00:00,5.6,7.34,458.52,15.39,9.64,10.26
STN_D,2025-01-03 12:00:00,5.22,7.09,517.96,23.2,11.87,12.52
STN_A,2025-01-03 13:00:00,6.53,7.45,345.08,8.63,3.08,5.3
STN_B,2025-01-03 13:00:00,6.46,7.26,378.02,12.06,5.41,7.42
STN_C,2025-01-03 13:00:00,5.37,7.14,436.72,17.38,9.61,9.81
STN_D,2025-01-03 13:00:00,5.22,6.98,523.4,26.43,10.9,11.98
STN_A,2025-01-03 14:00:00,6.13,7.48,311.76,11.87,3.58,5.14
STN_B,2025-01-03 14:00:00,6.45,7.44,410.96,13.85,6.85,7.39
STN_C,2025-01-03 14:00:00,5.52,7.04,437.76,18.03,8.9,9.76
STN_D,2025-01-03 14:00:00,4.79,7.06,521.36,27.25,11.12,12.92
STN_A,2025-01-03 15:00:00,6.27,7.21,318.79,7.85,5.25,5.41
STN_B,2025-01-03 15:00:00,5.57,7.41,398.35,12.91,5.85,6.46
STN_C,2025-01-03 15:00:00,5.07,7.15,478.3,20.35,8.64,9.36
STN_D,2025-01-03 15:00:00,4.52,6.82,524.88,24.81,11.66,12.08
STN_A,2025-01-03 16:00:00,6.56,7.31,302.49,3.73,4.01,6.1
STN_B,2025-01-03 16:00:00,6.3,7.21,371.0,12.74,5.24,7.22
STN_C,2025-01-03 16:00:00,5.33,7.15,448.53,17.73,8.33,9.54
STN_D,2025-01-03 16:00:00,4.33,6.98,533.74,23.83,13.23,12.87
STN_A,2025-01-03 17:00:00,6.35,7.28,283.67,9.36,4.62,4.87
STN_B,2025-01-03 17:00:00,5.77,7.28,356.6,11.24,6.67,6.28
STN_C,2025-01-03 17:00:00,5.14,6.93,457.03,17.98,7.74,10.73
STN_D,2025-01-03 17:00:00,4.13,6.87,523.04,26.76,11.22,13.07
STN_A,2025-01-03 18:00:00,6.46,7.39,322.68,7.49,3.37,5.09
STN_B,2025-01-03 18:00:00,5.41,7.0,386.58,13.39,4.15,6.43
STN_C,2025-01-03 18:00:00,5.22,7.2,450.35,16.94,8.89,10.86
STN_D,2025-01-03 18:00:00,4.14,6.87,512.79,23.61,12.13,14.01
STN_A,2025-01-03 19:00:00,6.45,7.32,315.66,5.69,4.74,4.99
STN_B,2025-01-03 19:00:00,5.7,7.5,384.52,10.91,5.7,7.73
STN_C,2025-01-03 19:00:00,5.09,6.92,463.82,17.03,10.54,10.68
STN_D,2025-01-03 19:00:00,4.22,7.04,521.05,26.32,12.42,12.53
STN_A,2025-01-03 20:00:00,6.21,7.43,315.02,7.43,3.27,5.29
STN_B,2025-01-03 20:00:00,6.42,7.16,380.4,14.16,5.97,7.31
STN_C,2025-01-03 20:00:00,4.79,7.08,447.23,19.52,9.99,11.59
STN_D,2025-01-03 20:00:00,4.58,6.98,522.95,24.51,12.31,12.86
STN_A,2025-01-03 21:00:00,6.53,7.47,304.94,9.75,5.09,4.97
STN_B,2025-01-03 21:00:00,5.25,7.22,399.49,12.0,5.24,6.73
STN_C,2025-01-03 21:00:00,5.44,7.11,446.45,17.49,8.72,9.48
STN_D,2025-01-03 21:00:00,4.97,6.94,538.29,27.32,12.84,12.78
STN_A,2025-01-03 22:00:00,6.71,7.39,306.48,8.52,3.09,5.75
STN_B,2025-01-03 22:00:00,5.85,7.3,384.29,11.65,6.51,6.75
STN_C,2025-01-03 22:00:00,5.55,6.98,451.93,20.95,8.24,9.63
STN_D,2025-01-03 22:00:00,4.74,7.0,525.3,25.77,12.55,13.7
STN_A,2025-01-03 23:00:00,6.83,7.39,330.13,10.89,3.93,4.45
STN_B,2025-01-03 23:00:00,6.44,7.3,347.45,13.31,5.61,6.98
STN_C,2025-01-03 23:00:00,5.51,7.13,460.68,17.39,9.45,9.88
STN_D,2025-01-03 23:00:00,4.93,7.06,506.01,26.67,11.61,13.52
STN_A,2025-01-04 00:00:00,6.95,7.59,316.69,7.52,4.02,4.86
STN_B,2025-01-04 00:00:00,6.48,7.21,364.23,10.44,6.8,8.07
STN_C,2025-01-04 00:00:00,5.51,7.13,451.09,19.78,8.3,10.18
STN_D,2025-01-04 00:00:00,5.13,7.08,522.88,26.54,9.88,13.45
STN_A,2025-01-04 01:00:00,6.77,7.32,327.71,10.1,3.93,5.61
STN_B,2025-01-04 01:00:00,6.85,7.47,404.64,13.15,6.1,6.08
STN_C,2025-01-04 01:00:00,5.6,7.1,482.6,17.78,9.14,10.37
STN_D,2025-01-04 01:00:00,4.98,7.2,510.7,25.33,11.45,12.25
STN_A,2025-01-04 02:00:00,6.91,7.49,313.6,7.0,2.92,4.99
STN_B,2025-01-04 02:00:00,6.04,7.45,381.28,9.85,5.79,6.59
STN_C,2025-01-04 02:00:00,5.89,7.3,421.91,18.21,8.91,10.44
STN_D,2025-01-04 02:00:00,5.15,7.03,515.25,23.85,12.9,13.05
STN_A,2025-01-04 03:00:00,7.76,7.51,309.41,5.77,2.6,4.09
STN_B,2025-01-04 03:00:00,6.67,7.45,356.32,13.38,5.65,7.13
STN_C,2025-01-04 03:00:00,6.38,7.28,446.01,16.7,7.32,9.61
STN_D,2025-01-04 03:00:00,5.13,7.03,518.07,25.16,11.86,12.65
STN_A,2025-01-04 04:00:00,7.32,7.56,303.69,10.16,3.96,5.05
STN_B,2025-01-04 04:00:00,6.89,7.45,394.34,12.47,5.55,7.26
STN_C,2025-01-04 04:00:00,5.63,7.24,449.54,17.73,8.94,8.91
STN_D,2025-01-04 04:00:00,5.11,7.14,522.44,23.5,13.05,12.52
STN_A,2025-01-04 05:00:00,7.62,7.57,310.35,10.7,3.09,5.59
STN_B,2025-01-04 05:00:00,7.02,7.38,400.93,11.67,6.27,7.2
STN_C,2025-01-04 05:00:00,5.98,7.3,461.94,15.42,10.09,9.04
STN_D,2025-01-04 05:00:00,5.63,7.23,503.68,24.43,11.16,12.91
STN_A,2025-01-04 06:00:00,7.25,7.6,339.7,10.14,3.59,4.92
STN_B,2025-01-04 06:00:00,6.24,7.38,394.52,14.47,5.05,6.69
STN_C,2025-01-04 06:00:00,6.03,7.26,437.9,18.68,8.66,10.03
STN_D,2025-01-04 06:00:00,5.51,7.14,513.5,24.88,11.97,12.82
STN_A,2025-01-04 07:00:00,7.25,7.67,328.46,7.6,4.6,4.84
STN_B,2025-01-04 07:00:00,7.08,7.47,378.43,12.71,4.79,6.37
STN_C,2025-01-04 07:00:00,5.67,7.25,476.03,21.39,9.55,10.34
STN_D,2025-01-04 07:00:00,4.79,7.1,508.23,24.11,11.91,12.76
STN_A,2025-01-04 08:00:00,6.68,7.59,303.95,8.4,5.7,4.49
STN_B,2025-01-04 08:00:00,5.92,7.41,396.56,14.98,5.06,7.34
STN_C,2025-01-04 08:00:00,5.84,7.22,489.71,15.79,9.25,10.32
STN_D,2025-01-04 08:00:00,5.6,7.14,524.66,24.46,12.26,12.84
STN_A,2025-01-04 09:00:00,7.38,7.49,325.7,8.0,4.94,5.01
STN_B,2025-01-04 09:00:00,6.07,7.52,366.46,11.06,5.57,7.87
STN_C,2025-01-04 09:00:00,5.26,7.47,465.88,18.38,9.0,10.22
STN_D,2025-01-04 09:00:00,5.35,7.17,528.38,25.18,11.89,12.95
STN_A,2025-01-04 10:00:00,7.04,7.59,328.95,3.63,4.57,5.16
STN_B,2025-01-04 10:00:00,6.49,7.36,396.91,13.47,5.43,7.29
STN_C,2025-01-04 10:00:00,5.5,7.08,440.64,19.34,9.81,10.35
